"","Pvalue","Qvalue","Qvalue.perm","R2","coef_","High Mean","HV Mean","High nzMean","HV nzMean","log2(AbundRatio)","High preval","HV preval","PrevRatio"
"p__Firmicutes;s__Roseburia_inulinivorans",0.237,0.436793103448276,0.441831662170645,0.0461141900564456,-0.0268925519373803,0.0186426196121624,0.00669578024814338,0.0248568261495498,0.00781174362283395,-1.47728051265821,0.75,0.857142857142857,1.14285714285714
"p__Firmicutes;s__Roseburia_unclassified",0.175,0.356730769230769,0.349368599368599,0.062830832452427,0.0194682028931416,0.000363358815357656,0.00320464228476476,0.00145343526143062,0.00841218599750749,3.1406965136056,0.25,0.380952380952381,1.52380952380952
"p__Firmicutes;s__Oscillibacter_unclassified",0.564,0.729073170731707,0.733916843672941,0.0112844916266937,0.00718076420181249,0.00618291178999204,0.00683850319555918,0.00674499467999131,0.00718042835533714,0.145394160892845,0.916666666666667,0.952380952380952,1.03896103896104
"p__Firmicutes;s__Clostridium_bartlettii",0.057,0.205575757575758,0.188652938652939,0.122929833663979,-0.0123718715178685,0.000749751707070613,0.000327497940558373,0.00112462756060592,0.00114624279195431,-1.1949270674756,0.666666666666667,0.285714285714286,0.428571428571429
"p__Firmicutes;s__Faecalibacterium_prausnitzii",0.3,0.509809523809524,0.534409409409409,0.0335868104779162,0.0396704338909182,0.0451264428868973,0.0566230346066787,0.060168590515863,0.0594541863370126,0.32741600796806,0.75,0.952380952380952,1.26984126984127
"p__Firmicutes;s__Ruminococcaceae_bacterium_D16",0.44,0.638904109589041,0.634134134134134,0.0214677570598184,0.00588392160317322,0.00022113337726336,0.00078125431759106,0.000884533509053439,0.00205079258367653,1.82087545970964,0.25,0.380952380952381,1.52380952380952
"p__Firmicutes;s__Ruminococcus_bromii",0.058,0.205575757575758,0.197520100745907,0.11295787406158,0.0789545293486683,0.00976276716963149,0.032585607786735,0.0292883015088945,0.0526382895016488,1.73887287439436,0.333333333333333,0.619047619047619,1.85714285714286
"p__Firmicutes;s__Ruminococcus_callidus",0.717,0.808531914893617,0.833823406740073,0.0033540366813783,0.00226934610683416,0.000299783273376679,0.00109200353917982,0.00359739928052014,0.00573301858069408,1.86498573759845,0.0833333333333333,0.19047619047619,2.28571428571429
"p__Firmicutes;s__Ruminococcus_lactaris",0.32,0.53,0.537015276145711,0.0303592904038139,0.0210435517848264,0.00376034183179337,0.00640652371254522,0.0150413673271735,0.0103489998433423,0.768677923317473,0.25,0.619047619047619,2.47619047619048
"p__Firmicutes;s__Ruminococcus_sp_5_1_39BFAA",0.745,0.822604166666667,0.824108318845161,0.00383384729051765,0.0102263150864746,0.0113286921711143,0.00863883915536313,0.0453147686844573,0.0302359370437709,-0.39107195209342,0.25,0.285714285714286,1.14285714285714
"p__Firmicutes;s__Subdoligranulum_unclassified",0.027,0.164888888888889,0.182008095051573,0.142023067128953,0.0791882228377334,0.0357066890333687,0.0590892885364556,0.0389527516727658,0.0590892885364556,0.726702264625471,0.916666666666667,1,1.09090909090909
"p__Firmicutes;s__Coprobacillus_unclassified",0.02,0.151428571428571,0.175528469646117,0.151751047385738,-0.0170230931401982,0.00525156262603821,0.000290067069125572,0.00787734393905732,0.00152285211290925,-4.17828834408036,0.666666666666667,0.19047619047619,0.285714285714286
"p__Firmicutes;s__Clostridium_ramosum",0.374,0.566342857142857,0.589303589303589,0.025478381629783,-0.00286729862357087,0.000791202856565815,5.19217229765641e-05,0.00316481142626326,0.000545178091253923,-3.92963747101939,0.25,0.0952380952380952,0.380952380952381
"p__Firmicutes;s__Eubacterium_biforme",0.114,0.268533333333333,0.287504896200548,0.0770009138761368,0.0132399766335971,0,0.00167427780533345,NA,0.00878995847800062,Inf,0,0.19047619047619,Inf
"p__Firmicutes;s__Acidaminococcus_unclassified",0.666,0.793213483146067,0.78159681420551,0.00660714879650069,0.00746939603359657,0.00315614618496878,0.0022395615070102,0.0378737542196253,0.0156769305490714,-0.494947740286698,0.0833333333333333,0.142857142857143,1.71428571428571
"p__Firmicutes;s__Phascolarctobacterium_succinatutens",0.193,0.378851851851852,0.394734356998508,0.0564067568317743,0.0246808636866847,0.000807283333333333,0.00471501608078101,0.0096874,0.0198030675392802,2.54611567914679,0.0833333333333333,0.238095238095238,2.85714285714286
"p__Firmicutes;s__Dialister_invisus",0.008,0.0942222222222222,0.0655099543988433,0.221798785132387,-0.0633712464734217,0.0131849856625053,0.000941670163695363,0.0263699713250106,0.00988753671880131,-3.80753037281479,0.5,0.0952380952380952,0.19047619047619
"p__Firmicutes;s__Veillonella_parvula",0.047,0.195692307692308,0.185465465465465,0.126102671829025,-0.0107878876509065,0.000541522769445285,9.24190476190476e-05,0.00162456830833585,0.0019408,-2.5507598725273,0.333333333333333,0.0476190476190476,0.142857142857143
"p__Firmicutes;s__Veillonella_unclassified",0.014,0.114153846153846,0.111650111650112,0.181315260098687,-0.0225817322606429,0.00285732496473891,0.000103444692046206,0.00571464992947783,0.000724112844323443,-4.78773359925821,0.5,0.142857142857143,0.285714285714286
"p__Proteobacteria;s__Burkholderiales_bacterium_1_1_47",0.33,0.538153846153846,0.537015276145711,0.0301182599557535,0.00966729541576366,0.000697480402861787,0.00179660854186459,0.00278992161144715,0.00342988903446876,1.36505151104433,0.25,0.523809523809524,2.0952380952381
"p__Proteobacteria;s__Parasutterella_excrementihominis",0.174,0.356730769230769,0.344678011344678,0.0644136539781234,0.00945321111145213,0.000859798894371303,0.000665836571249932,0.00515879336622782,0.00116521399968738,-0.368831142077111,0.166666666666667,0.571428571428571,3.42857142857143
"p__Proteobacteria;s__Sutterella_wadsworthensis",0.837,0.896181818181818,0.909216146839909,0.00095882438248529,-0.00382541275980676,0.00415875033058003,0.00442635947500029,0.0249525019834802,0.030984516325002,0.08997054474528,0.166666666666667,0.142857142857143,0.857142857142857
"p__Proteobacteria;s__Bilophila_unclassified",0.045,0.195692307692308,0.182008095051573,0.132044066330792,0.0253829404522545,0.00251299204166097,0.00326027796577388,0.00603118089998632,0.0040274021930148,0.375588869047516,0.416666666666667,0.80952380952381,1.94285714285714
"p__Proteobacteria;s__Bilophila_wadsworthia",0.028,0.164888888888889,0.175528469646117,0.147335222721357,0.00790476564246415,1.52500010208334e-05,0.000249094506303349,9.15000061250006e-05,0.000475544057488212,4.02981195940737,0.166666666666667,0.523809523809524,3.14285714285714
"p__Proteobacteria;s__Desulfovibrio_piger",0.048,0.195692307692308,0.183183183183183,0.128751756834589,0.012194442036752,0,0.000496116588563424,NA,0.00173640805997198,Inf,0,0.285714285714286,Inf
"p__Proteobacteria;s__Escherichia_coli",0.087,0.236461538461538,0.251661918328585,0.0909327463527219,-0.0247029764097341,0.00476904990933256,0.00094116584014985,0.00953809981866513,0.00658816088104895,-2.34118101733869,0.5,0.142857142857143,0.285714285714286
"p__Proteobacteria;s__Escherichia_unclassified",0.468,0.65774358974359,0.645500763921817,0.0186176048993299,-0.00443694236361249,0.000446368999391352,0.00042119887066169,0.00107128559853925,0.00126359661198507,-0.0837352664186939,0.416666666666667,0.333333333333333,0.8
"p__Proteobacteria;s__Haemophilus_parainfluenzae",0.341,0.539492537313433,0.500139483746041,0.0394123786604575,-0.0209922243923382,0.0047867182174976,0.00287763814287943,0.0287203093049856,0.020143467000156,-0.734151693068109,0.166666666666667,0.142857142857143,0.857142857142857
"p__Proteobacteria;s__Pseudomonas_mendocina",0.04,0.195692307692308,0.182008095051573,0.133817736080731,-0.0103135781706161,0.000831282403346282,0.000315612019720903,0.000997538884015538,0.000389873671419939,-1.39718652299786,0.833333333333333,0.80952380952381,0.971428571428572
"p__Proteobacteria;s__Pseudomonas_unclassified",0.435,0.638904109589041,0.640119571626421,0.0205139051820861,-0.00549430265927595,0.000968406483530971,0.000421085930953817,0.00166012540033881,0.000982533838892239,-1.20149806435195,0.583333333333333,0.428571428571429,0.73469387755102
"p__Verrucomicrobia;s__Akkermansia_muciniphila",0.079,0.232611111111111,0.237913589264941,0.0961365535989061,0.0405652293108381,0.00206578877178096,0.00756600949300927,0.0123947326306857,0.0122220153348611,1.8728398412694,0.166666666666667,0.619047619047619,3.71428571428571
